Item ID,Barcode,Title,Author,Genre
21369127,37365003112517,Ghost season : a novel,"Abbas, Fatin",Literary Fiction
20389986,37365002946568,An ambush of widows,"Abbott, Jeff",Thriller
18578627,37365002819245,Give me your hand,"Abbott, Megan",Thriller
21543529,37365003041500,Beware the woman : a novel,"Abbott, Megan 1971-",Thriller
20424874,37365002950412,The turnout : a novel,"Abbott, Megan 1971-",Thriller
19999272,37365003003849,The invitation,"Abbott, Rachel 1952-",Thriller
22522092,37365003179698,Good girl : a novel,"Aber, Aria",Literary Fiction
19723572,37365002988610,Three apples fell from the sky,"AbgariÍ¡an, NarinÄ—",Literary Fiction
21402589,37365003117425,A likely story : a novel,"Abramson, Leigh McMullan",Literary Fiction
20252766,37365002932741,While justice sleeps : a novel,"Abrams, Stacey",Thriller
21598416,37365003041096,Rogue justice : a thriller,"Abrams, Stacey",Thriller
22400163,37365003172537,Hometown vendetta,"Abramson, Traci Hunter",Christian Fiction
21059731,37365003099714,The hundred waters : a novel,"Acampora, Lauren",Literary Fiction
20267513,37365002934010,Things fall apart,"Achebe, Chinua.",Literary Fiction
20284204,37365002939001,The Brittanys,"Ackerman, Brittany 1989-",Literary Fiction
21598565,37365003042151,Halcyon : a novel,"Ackerman, Elliot",Literary Fiction
18676222,37365002825838,Waiting for Eden : a novel,"Ackerman, Elliot",Literary Fiction
22107273,37365003133257,Begin again : a novel,"Acton, Helly",Romance
2976393,37365001356801,Watership Down,"Adams, Richard 1920-2016",Fantasy
21209618,37365003097247,Situationship,"Adair, Marina",Romance
21292722,37365003108697,My mother's secret : a novel of the Jewish Autonomous Region,"Adams, Alina",Historical Fiction
19939955,37365002995037,The nesting dolls : a novel,"Adams, Alina",Historical Fiction
21156656,37365003095373,Jackal : a novel,"Adams, Erin E.",Horror
20170173,37365002925919,Dangerous women,"Adams, Hope 1944-",Historical Fiction
21845445,37365003076670,Second term : a thriller,"Adams, J. M.",Thriller
21479670,37365003118092,Not that kind of ever after,"Adams, Luci",Romance
20643917,37365002974560,"Hidden treasures : a novel of first love, second chances, and the hidden stories of the heart","Adams, Michelle",Romance
20025534,37365003010315,Little wishes : a novel,"Adams, Michelle 1981-",Literary Fiction
20424680,37365002952749,The reading list : a novel,"Adams, Sara Nisha",Literary Fiction
22238199,37365003147638,The rule book : a novel,"Adams, Sarah 1991-",Romance
21315654,37365003109943,The thing in the snow : a novel,"Adams, Sean (Novelist)",Literary Fiction
20360141,37365002942963,Hairpin Bridge : a novel,"Adams, Taylor",Thriller
18854923,37365002844144,No exit : a novel,"Adams, Taylor",Thriller
21519135,37365003038282,The last word : a novel,"Adams, Taylor",Thriller
21385451,37365003111535,Murder grove : a novel of suspense,"Adamson, E. V.",Thriller
4071839,37365004255398,Little beauties : a novel,"Addonizio, Kim 1954-",Literary Fiction
21369066,37365003114216,A spell of good things,"Adebayo, Ayobami 1988-",Literary Fiction
17929248,37365002759664,Stay with me,"Adebayo, Ayobami 1988-",Literary Fiction
21791697,37365003069873,Chameleon : a black box thriller,"Adeleke, Remi 1982-",Thriller
21725127,37365003064296,What the neighbors saw : a novel,"Adelman, Melissa A.",Thriller
20925930,37365003054172,How to be eaten,"Adelmann, Maria",Fantasy
21402620,37365003114463,Daughter in exile : a novel,"Adjapon, Bisi",Literary Fiction
20582613,37365002970626,The teller of secrets : a novel,"Adjapon, Bisi",Literary Fiction
20424786,37365002954117,Palm Beach : a novel,"Adkins, Mary",Literary Fiction
2364000,37365004235465,The Hotel Riviera,"Adler, Elizabeth (Elizabeth A.)",Romance
15643044,37365004283069,Last to know,"Adler, Elizabeth (Elizabeth A.)",Thriller
14847269,37365004281493,Please don't tell,"Adler, Elizabeth (Elizabeth A.)",Thriller
21591294,37365003058793,Mrs. Nash's ashes,"Adler, Sarah 1991-",Literary Fiction
20390097,37365002953580,The second season : a novel,"Adrian, Emily",Literary Fiction
17794142,37365002747313,Bread of angels,"Afshar, Tessa",Christian Fiction
20284351,37365002939530,Jewel of the Nile,"Afshar, Tessa",Christian Fiction
21724471,37365003063967,The only purple house in town,"Aguirre, Ann",Romance
20609821,37365002966319,Witch please,"Aguirre, Ann",Fantasy
20909204,37365003032152,Boss witch,"Aguirre, Ann",Fantasy
21212493,37365003098013,Extra witchy,"Aguirre, Ann",Fantasy
2366820,37365004240531,"PS, I love you","Ahern, Cecelia 1981-",Romance
20925848,37365003047200,The return of Faraz Ali,"Ahmad, Aamina",Mystery
